Name,AgeinMonths,LocomotorStatus,PercentWalk
A,10,crawler,0
A,10.5,crawler,0
A,11,crawler,0
A,11.5,crawler,0
A,12,crawler,0
A,12.5,crawler,0
A,13,crawler,0
A,13.5,crawler,8.333333333
A,14,crawler,0
A,14.5,crawler,6.25
A,15,walker,76.92307692
A,15.5,walker,85
B,10,crawler,0
B,10.5,crawler,24.67532468
B,11,walker,55.69620253
B,11.5,walker,76.36363636
B,12,walker,91.73553719
B,12.5,walker,90.72847682
B,13,walker,91.50943396
B,13.5,walker,99.09090909
B,14,walker,100
B,14.5,walker,84.61538462
B,15,walker,98.95833333
B,15.5,walker,80.76923077
C,10,crawler,0
C,10.5,crawler,0
C,11,crawler,6.896551724
C,11.5,crawler,25.42372881
C,12,walker,59.7826087
C,12.5,walker,86.53846154
C,13,walker,90.38461538
C,13.5,walker,93.18181818
C,14,walker,97.26027397
C,14.5,walker,100
C,15,walker,100
C,15.5,walker,94.59459459
D,10,crawler,0
D,10.5,crawler,0
D,11,crawler,0
D,11.5,crawler,0
D,12,crawler,23.33333333
D,12.5,walker,78.37837838
D,13,walker,95.34883721
D,13.5,walker,100
D,14,walker,100
D,14.5,walker,98.48484848
D,15,walker,98.66666667
D,15.5,walker,94.73684211
E,10,crawler,0
E,10.5,crawler,0
E,11,crawler,0
E,11.5,crawler,0
E,12.5,crawler,0
E,13,walker,51.28205128
E,13.5,walker,14.28571429
E,14,walker,95.91836735
E,14.5,walker,77.33333333
E,15,walker,93.75
E,15.5,walker,88.88888889
E,12,crawler,0
